COD_LOC;NOMBRE_LOC;CP;POBLACION;OFICINA;PROVINCIA;COD_PROY;ID_EVALUACION;Fecha de ejecucion;COD_AUDITOR;RESULTADO;TITULO_CUESTIONARIO
12;MUCHAS BOIRO;15930;Boiro;910;A CORUÑA;0267_001;1938117;16/01/2014;R29407;0,9513;Nuevo cuestionario Mucha's
17;MUCHAS CARBALLIÑO;32500;Carballiño;910;ORENSE;0267_001;1938118;10/01/2014;33466;0,8351;Nuevo cuestionario Mucha's
21;MUCHAS BUEU;36930;Bueu;910;PONTEVEDRA;0267_001;1938119;10/01/2014;29100;0,8958;Nuevo cuestionario Mucha's
31;MUCHAS VIGO I;36202;Vigo;910;PONTEVEDRA;0267_001;1938120;21/01/2014;34161;0,7625;Nuevo cuestionario Mucha's
34;MUCHAS REDONDELA;36800;Redondela;910;PONTEVEDRA;0267_001;1938121;23/01/2014;34161;0,6069;Nuevo cuestionario Mucha's
37;MUCHAS VIGO II;36210;Vigo;910;PONTEVEDRA;0267_001;1938122;22/01/2014;R00004;0,5078;Nuevo cuestionario Mucha's
38;MUCHAS PONTEVEDRA II;36001;Pontevedra;910;PONTEVEDRA;0267_001;1938123;10/01/2014;29100;0,8891;Nuevo cuestionario Mucha's
8;MUCHAS ÓRDENES;15680;Órdenes;910;A CORUÑA;0267_001;1938124;20/01/2014;33900;0,8395;Nuevo cuestionario Mucha's
21;BCN-ROMA;8000;BARCELONA;901;BARCELONA;0377_001;1944559;13/01/2014;149;0,7176;Vueling_Mystery Passenger 2013
22;ROMA-BCN;8000;BARCELONA;901;BARCELONA;0377_001;1944560;13/01/2014;149;0,6805;Vueling_Mystery Passenger 2013
35;BARCELONA- FLORENCIA;8000;BARCELONA;901;BARCELONA;0377_001;1944561;07/01/2014;2299;0,8351;Vueling_Mystery Passenger 2013
36;FLORENCIA - BARCELONA;8000;BARCELONA;901;BARCELONA;0377_001;1944562;07/01/2014;2299;0,8125;Vueling_Mystery Passenger 2013
67;BARCELONA -LONDRES;8000;BARCELONA;901;BARCELONA;0377_001;1944563;23/01/2014;29667;0,8596;Vueling_Mystery Passenger 2013
68;LONDRES-BARCELONA;8000;BARCELONA;901;BARCELONA;0377_001;1944564;26/01/2014;29667;0,8228;Vueling_Mystery Passenger 2013
73;BARCELONA -MADRID;8000;BARCELONA;901;BARCELONA;0377_001;1944565;24/01/2014;149;0,7748;Vueling_Mystery Passenger 2013
74;MADRID-BARCELONA;8000;BARCELONA;901;BARCELONA;0377_001;1944566;24/01/2014;149;0,8178;Vueling_Mystery Passenger 2013
75;BARCELONA - MILAN;8000;BARCELONA;901;BARCELONA;0377_001;1944567;30/01/2014;33663;0,8444;Vueling_Mystery Passenger 2013
76;MILAN - BARCELONA;8000;BARCELONA;901;BARCELONA;0377_001;1944568;30/01/2014;33663;0,891;Vueling_Mystery Passenger 2013
77;BARCELONA- LISBOA;8000;BARCELONA;901;BARCELONA;0377_001;1944569;29/01/2014;33663;0,8853;Vueling_Mystery Passenger 2013
78;LISBOA- BARCELONA;8000;BARCELONA;901;BARCELONA;0377_001;1944570;29/01/2014;33663;0,8972;Vueling_Mystery Passenger 2013
29;BCN-LA CORUÑA;8000;BARCELONA;901;BARCELONA;0377_001;1944800;15/01/2014;2299;0,8465;Vueling_Mystery Passenger 2013
30;LA CORUÑA-BCN;8000;BARCELONA;901;BARCELONA;0377_001;1944802;15/01/2014;2299;0,9158;Vueling_Mystery Passenger 2013
HM_300;IKEA ALCORCON;28925;Alcorcón;SGS;MADRID;IKEA_HM;1945178;16/01/2014;c_heras;0,931;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_301;IKEA ASTURIAS;33429;Paredes-Siero;SGS;ASTURIAS;IKEA_HM;1945179;29/01/2014;MAIDER_L;0,951;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_302;IKEA BADALONA;8917;Badalona;SGS;BARCELONA;IKEA_HM;1945180;15/01/2014;M_CASTANO;0,945;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_303;IKEA HOSPITALET;8907;L'Hospitalet de Llobregat;SGS;BARCELONA;IKEA_HM;1945181;20/01/2014;M_CASTANO;0,945;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_304;IKEA MADRID ESTE;28051;Madrid;SGS;MADRID;IKEA_HM;1945182;21/01/2014;c_heras;0,949;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_305;IKEA MALAGA;29004;Málaga;SGS;MALAGA;IKEA_HM;1945183;22/01/2014;jesus_cano;0,94;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_306;IKEA MURCIA;30110;Churra;SGS;MURCIA;IKEA_HM;1945184;21/01/2014;S_GARCIAHU;0,98;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_307;IKEA SEVILLA;41950;Castilleja de la Cuesta;SGS;SEVILLA;IKEA_HM;1945185;21/01/2014;ALMU_REYES;0,953;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_308;IKEA SAN SEBASTIÁN DE LOS REYES;28700;San Sebastián de los Reyes;SGS;MADRID;IKEA_HM;1945186;09/01/2014;c_heras;0,955;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_309;IKEA ZARAGOZA;50007;Zaragoza;SGS;ZARAGOZA;IKEA_HM;1945187;22/01/2014;M_CASTANO;0,951;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_310;IKEA JEREZ;11408;Jerez de la Frontera;SGS;CADIZ;IKEA_HM;1945188;14/01/2014;ALMU_REYES;0,945;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_311;IKEA A CORUÑA;15008;A Coruña;SGS;A CORUÑA;IKEA_HM;1945189;21/01/2014;C_MBRITO;0,951;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_312;IKEA VALLADOLID;47195;Arroyo de la Encomienda;SGS;VALLADOLID;IKEA_HM;1945190;28/01/2014;c_heras;0,957;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_313;IKEA SABADELL;8205;Sabadell;SGS;BARCELONA;IKEA_HM;1945191;13/01/2014;M_CASTANO;0,94;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
HM_314;IKEA BARAKALDO;48903;Barakaldo;SGS;VIZCAYA;IKEA_HM;1945192;23/01/2014;J_ZUBIAUR;0,968;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1;RESIDENCIA EL MARISCAL;28033;Madrid;SGS;MADRID;MARISCAL;1945521;29/01/2014;d_vega;0,7811;AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
CA1;Hospital Universitario del Sagrado Corazón;8029;Barcelona;SGS;BARCELONA;CAPIO;1945522;21/01/2014;M_CASTANO;0,8911;AUDITORIA SEGURIDAD ALIMENTARIA
CA2;Hospital General de Cataluña;8190;San Cugat del Vallés;SGS;BARCELONA;CAPIO;1945523;23/01/2014;M_CASTANO;0,7719;AUDITORIA SEGURIDAD ALIMENTARIA
CA3;Clínica del Vallés;8203;Sabadell;SGS;BARCELONA;CAPIO;1945524;16/01/2014;M_CASTANO;0,8669;AUDITORIA SEGURIDAD ALIMENTARIA
CA4;Clínica de C. Real;13002;Ciudad Real;SGS;CIUDAD REAL;CAPIO;1945525;20/01/2014;c_heras;0,7899;AUDITORIA SEGURIDAD ALIMENTARIA
CA5;Hospital Universitario Infanta Elena;28340;Valdemoro;SGS;MADRID;CAPIO;1945526;08/01/2014;c_heras;0,8256;AUDITORIA SEGURIDAD ALIMENTARIA
CA6;Hospital Rey Juan Carlos;28933;Móstoles;SGS;MADRID;CAPIO;1945527;30/01/2014;c_heras;0,7734;AUDITORIA SEGURIDAD ALIMENTARIA
CA7;Fundación Jimenez Díaz UTE;28040;Madrid;SGS;MADRID;CAPIO;1945528;15/01/2014;c_heras;0,5329;AUDITORIA SEGURIDAD ALIMENTARIA
0006a;DITELE SPAIN, S.L.U;46011;VALENCIA;917;VALENCIA;0457_003;1945655;07/01/2014;30948;0,7883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
100;FRAN  FUS, S.L.;46800;XÁTIVA;917;VALENCIA;0457_003;1945656;17/01/2014;33427;0,9517;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
107;CENTRE TELEFONIC PAIPORTA, S.L;46200;PAIPORTA;917;VALENCIA;0457_003;1945657;20/01/2014;29384;0,9383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
114;TALLERES CASTILLO FRASES;46160;LIRIA;917;VALENCIA;0457_003;1945658;20/01/2014;30811;0,9217;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
129;XUQUER TELECOMUNICACIONS;46740;CARCAIXENT;917;VALENCIA;0457_003;1945659;11/01/2014;32002;0,8693;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
139;GRUPO BONATEL, S.L.U.;46970;ALACUAS;917;VALENCIA;0457_003;1945660;14/01/2014;31924;0,9316;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
165;GRUPO BONATEL, S.L.U.;46460;SILLA;917;VALENCIA;0457_003;1945661;17/01/2014;29384;0,8123;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0196a;LUALBO, S.L;46007;VALENCIA;917;VALENCIA;0457_003;1945665;08/01/2014;32099;0,8717;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
201;COMUNICATEL;46650;CANALS;917;VALENCIA;0457_003;1945666;14/01/2014;30811;0,9683;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
207;GRUPO BONATEL, S.L.U.;46230;ALGINET;917;VALENCIA;0457_003;1945667;10/01/2014;29384;0,935;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0223a;GRUPO BONATEL, S.L.U.;46440;ALMUSAFES;917;VALENCIA;0457_003;1945668;17/01/2014;29384;0,8883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
231;GRUPO BONATEL, S.L.U.;46450;BENIFAYÓ;917;VALENCIA;0457_003;1945669;17/01/2014;29384;0,8474;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
234;GRUPO BONATEL, S.L.U.;46130;MASAMAGRELL;917;VALENCIA;0457_003;1945670;13/01/2014;29665;0,885;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
243;GRUPO BONATEL, S.L.U.;46470;CATARROJA;917;VALENCIA;0457_003;1945671;20/01/2014;29384;0,8079;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
250;GRUPO BONATEL, S.L.U.;46700;GANDÍA;917;VALENCIA;0457_003;1945672;20/01/2014;31838;0,9683;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
310;GRUPO BONATEL, S.L.U.;46370;CHIVA;917;VALENCIA;0457_003;1945673;20/01/2014;30811;0,9717;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
319;ABOUT LINE S.L.;46760;TABERNES DE VALLDIGNA;917;VALENCIA;0457_003;1945674;15/01/2014;2643;0,8092;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
320;GRUPO BONATEL, S.L.U.;46340;REQUENA;917;VALENCIA;0457_003;1945675;20/01/2014;30811;0,9517;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0322a;LUALBO, S.L;46930;QUART DE POBLET;917;VALENCIA;0457_003;1945676;02/01/2014;33510;0,9183;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0331a;LUALBO, S.L;46900;TORRENTE;917;VALENCIA;0457_003;1945677;10/01/2014;34095;0,9717;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0333a;GRUPO LITELFONE ARAGÓN, S.L.;44600;ALCAÑIZ;917;TERUEL;0457_003;1945681;23/01/2014;2946;0,785;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0373a;Gestión y Asesoramiento Anfavi;46910;BENETUSSER;917;VALENCIA;0457_003;1945682;20/01/2014;29384;0,8883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0374a;Gestión y Asesoramiento Anfavi;46940;MANISES;917;VALENCIA;0457_003;1945683;16/01/2014;29665;0,885;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
382;GRUPO BONATEL, S.L.U.;12580;BENICARLÓ;917;CASTELLON;0457_003;1945684;16/01/2014;30811;0,885;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0383a;Gestión y Asesoramiento Anfavi;46185;LA POBLA DE VALLBONA;917;VALENCIA;0457_003;1945685;21/01/2014;30811;0,9;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
401;GRUPO BONATEL, S.L.U.;46960;ALDAYA;917;VALENCIA;0457_003;1945686;14/01/2014;31924;0,9842;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0472a;LUALBO, S.L;46100;BURJASSOT;917;VALENCIA;0457_003;1945687;09/01/2014;29710;0,8383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
569;GRUPO BONATEL, S.L.U.;12530;BURRIANA;917;CASTELLON;0457_003;1945689;10/01/2014;2730;0,8383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
589;TONGAS S.L.;46680;ALGEMESÍ;917;VALENCIA;0457_003;1945690;10/01/2014;29384;0,8092;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
624;TALLERES CASTILLO FRASES;46980;PATERNA;917;VALENCIA;0457_003;1945691;20/01/2014;32099;0,8183;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
651;GRUPO BONATEL, S.L.U.;46950;XIRIVELLA;917;VALENCIA;0457_003;1945692;16/01/2014;29665;0,7465;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0698a;LUALBO, S.L;46183;LA ELIANA;917;VALENCIA;0457_003;1945693;17/01/2014;29902;0,785;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
711;ABOUT LINE S.L.;46780;OLIVA;917;VALENCIA;0457_003;1945694;15/01/2014;2643;0,9517;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0743a;Gestión y Asesoramiento Anfavi;46017;VALENCIA;917;VALENCIA;0457_003;1945695;13/01/2014;31924;0,9316;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
746;GRUPO BONATEL, S.L.U.;46900;TORRENTE;917;VALENCIA;0457_003;1945696;13/01/2014;34070;0,8723;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
748;GRUPO BONATEL, S.L.U.;12550;ALMAZORA;917;CASTELLON;0457_003;1945697;20/01/2014;33991;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
793;LUALBO, S.L;12001;CASTELLÓN;917;CASTELLON;0457_003;1945698;21/01/2014;33991;0,935;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0794a;LUALBO, S.L;12520;NULES;917;CASTELLON;0457_003;1945699;02/01/2014;32902;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
795;LUALBO, S.L;12200;ONDA;917;CASTELLON;0457_003;1945700;21/01/2014;31433;0,8183;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
797;LUALBO, S.L;46018;VALENCIA;917;VALENCIA;0457_003;1945701;10/01/2014;31838;0,835;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
805;LUALBO, S.L;12600;VALL DE UXÓ;917;CASTELLON;0457_003;1945702;17/01/2014;2730;0,9033;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0817a;ABOUT LINE S.L.;46007;VALENCIA;917;VALENCIA;0457_003;1945703;02/01/2014;29384;0,9017;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
850;BROGA-PHONE S.L.;46009;VALENCIA;917;VALENCIA;0457_003;1945704;02/01/2014;29384;0,885;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
912;BROGA-PHONE S.L.;12001;CASTELLÓN;917;CASTELLON;0457_003;1945705;13/01/2014;33853;0,9229;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
962;MICHEL RADIO;46520;PUERTO DE SAGUNTO;917;VALENCIA;0457_003;1945706;10/01/2014;30811;0,885;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
963;GALERIAS CULLERA, S.L;46400;CULLERA;917;VALENCIA;0457_003;1945707;15/01/2014;2643;0,9517;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
964;GALERIAS CULLERA, S.L;46410;SUECA;917;VALENCIA;0457_003;1945708;15/01/2014;2643;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
975;DOBER GESTION, S.L.;46220;PICASSENT;917;VALENCIA;0457_003;1945709;07/01/2014;31644;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
997;BROGA-PHONE S.L.;46115;ALFARA DEL PATRIARCA;917;VALENCIA;0457_003;1945710;07/01/2014;29710;0,8867;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1026;BROGA-PHONE S.L.;46530;PUZOL;917;VALENCIA;0457_003;1945711;13/01/2014;29665;0,935;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
998;BROGA-PHONE S.L.;46920;MISLATA;917;VALENCIA;0457_003;1945712;02/01/2014;29710;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1067;GRUPO BONATEL, S.L.U.;46500;SAGUNTO;917;VALENCIA;0457_003;1945713;10/01/2014;30811;0,905;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1532;STAND -- EXPERIS ECI AVDA. DE FRANCIA;46023;VALENCIA;917;VALENCIA;0457_003;1945714;13/01/2014;2940;0,855;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1296;GRUPO BONATEL, S.L.U.;46018;VALENCIA;917;VALENCIA;0457_003;1945715;17/01/2014;29902;0,9017;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1426;TONGAS S.L.;46023;VALENCIA;917;VALENCIA;0457_003;1945716;21/01/2014;31285;0,905;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1504;TONGAS S.L.;46800;Xátiva;917;VALENCIA;0457_003;1945717;17/01/2014;33427;0,9717;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1526;STAND -- EXPERIS ECI NUEVO CENTRO;46009;VALENCIA;917;VALENCIA;0457_003;1945718;10/01/2014;34070;0,7883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1566;STAND -- EXPERIS ECI PINTOR SOROLLA;46004;VALENCIA;917;VALENCIA;0457_003;1945719;08/01/2014;32099;0,7425;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1586;STAND -- EXPERIS ECI ADEMUZ;46015;VALENCIA;917;VALENCIA;0457_003;1945720;09/01/2014;30948;0,3192;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1030;GRUPO BONATEL, S.L.U.;12540;VILLAREAL;917;CASTELLON;0457_003;1945721;20/01/2014;33991;0,9183;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1414;LUALBO, S.L;12500;VINAROZ;917;CASTELLON;0457_003;1945722;15/01/2014;30811;0,9183;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1491;LUALBO, S.L;12001;CASTELLON;917;CASTELLON;0457_003;1945723;15/01/2014;2730;0,7883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1538;STAND -- EXPERIS ECI CASTELLÓN;12006;CASTELLÓN;917;CASTELLON;0457_003;1945724;09/01/2014;2730;0,8649;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
52;VALENCIA - San Vicente Mártir;46002;Valencia;917;VALENCIA;0457_002;1945725;08/01/2014;32099;0,8517;MYSTERY SHOPPER FFQQ P5 (ENE_14)
53;ALZIRA - Santos Patronos;46600;Alzira;917;VALENCIA;0457_002;1945726;15/01/2014;34171;0,6717;MYSTERY SHOPPER FFQQ P5 (ENE_14)
54;CARCAIXENT - CC Ribera del Xuquer;46740;Carcaixent;917;VALENCIA;0457_002;1945727;11/01/2014;32002;0,805;MYSTERY SHOPPER FFQQ P5 (ENE_14)
55;GANDIA - CC La Vital;46700;Gandia;917;VALENCIA;0457_002;1945728;09/01/2014;31838;0,8717;MYSTERY SHOPPER FFQQ P5 (ENE_14)
058a;PATERNA - CC Carrefour;46980;Paterna;917;VALENCIA;0457_002;1945729;04/01/2014;33510;0,985;MYSTERY SHOPPER FFQQ P5 (ENE_14)
62;CASTELLÓN - Independencia;12001;Castellon de La Plana;917;CASTELLON;0457_002;1945730;21/01/2014;33991;0,8883;MYSTERY SHOPPER FFQQ P5 (ENE_14)
68;ONTINYENT - Albaida;46870;Ontinyent;917;VALENCIA;0457_002;1945731;17/01/2014;33427;0,9217;MYSTERY SHOPPER FFQQ P5 (ENE_14)
172;TERUEL - Amargura;44001;Teruel;917;TERUEL;0457_002;1945732;18/01/2014;34000;0,5824;MYSTERY SHOPPER FFQQ P5 (ENE_14)
230;ALFAFAR - CC Albufera;46910;Alfafar;917;VALENCIA;0457_002;1945733;09/01/2014;33811;0,8088;MYSTERY SHOPPER FFQQ P5 (ENE_14)
239;VALENCIA - Peset Alexandre;46009;Valencia;917;VALENCIA;0457_002;1945734;02/01/2014;29384;0,8517;MYSTERY SHOPPER FFQQ P5 (ENE_14)
257;Albacete;2002;ALBACETE;917;ALBACETE;0457_002;1945735;21/01/2014;33625;0,935;MYSTERY SHOPPER FFQQ P5 (ENE_14)
261;Valencia CC Arena;46019;VALENCIA;917;VALENCIA;0457_002;1945736;10/01/2014;34019;0,8088;MYSTERY SHOPPER FFQQ P5 (ENE_14)
65;SICOM TELECOMUNIC ALBACETE S.L;3010;ALICANTE;922;ALICANTE;0457_003;1945784;21/01/2014;33394;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
90;DITELE SPAIN, S.L.U;3204;ELCHE;922;ALICANTE;0457_003;1945785;13/01/2014;33873;0,8824;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
159;INFORMATICA ACCESORIOS Y TELEFONIA;3001;ALICANTE;922;ALICANTE;0457_003;1945786;15/01/2014;33394;0,8298;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
163;CM PHONE ACCESORIES S.L.;3130;SANTA POLA;922;ALICANTE;0457_003;1945787;17/01/2014;34172;0,685;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
176;LUALBO, S.L;3440;IBI;922;ALICANTE;0457_003;1945788;10/01/2014;33481;0,905;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0204a;SICOM TELECOMUNIC ALBACETE S.L;3420;CASTALLA;922;ALICANTE;0457_003;1945789;10/01/2014;33481;0,9217;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
225;CM PHONE ACCESORIES S.L.;3180;TORREVIEJA;922;ALICANTE;0457_003;1945790;16/01/2014;33873;0,8298;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
229;GARALUT COMUNICACIÓN;3003;ALICANTE;922;ALICANTE;0457_003;1945791;21/01/2014;31882;0,9017;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
281;CM PHONE ACCESORIES S.L.;3203;ELCHE;922;ALICANTE;0457_003;1945792;13/01/2014;33125;0,9383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
282;DITELE SPAIN, S.L.U;3330;CREVILLENTE;922;ALICANTE;0457_003;1945793;15/01/2014;33481;0,8883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
300;DITELE SPAIN, S.L.U;3700;DENIA;922;ALICANTE;0457_003;1945794;15/01/2014;34170;0,7425;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
327;CM PHONE ACCESORIES S.L.;3600;ELDA;922;ALICANTE;0457_003;1945795;08/01/2014;33373;0,8883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
396;GRUPO BONATEL, S.L.U.;3730;JAVEA;922;ALICANTE;0457_003;1945796;17/01/2014;34170;0,8883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
432;CARMANI TELECOMUNICACIONES;3360;CALLOSA DE SEGURA;922;ALICANTE;0457_003;1945797;20/01/2014;34172;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
493;GRUPO MOVIL CONECTATE, S.L;3012;ALICANTE;922;ALICANTE;0457_003;1945798;02/01/2014;33033;0,97;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
529;DITELE SPAIN, S.L.U;3140;GUARDAMAR;922;ALICANTE;0457_003;1945799;20/01/2014;33481;0,8824;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
542;DITELE SPAIN, S.L.U;3203;ELCHE;922;ALICANTE;0457_003;1945800;10/01/2014;34081;0,805;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
556;BFB SERV. Y COMUN. ALBACETE SL;3400;VILLENA;922;ALICANTE;0457_003;1945801;17/01/2014;33481;0,985;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
576;SICOM TELECOMUNIC ALBACETE S.L;3690;SAN VICENTE DE RASPEIG;922;ALICANTE;0457_003;1945802;08/01/2014;34083;0,8592;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
577;GRUPO MOVIL CONECTATE, S.L;3560;CAMPELLO;922;ALICANTE;0457_003;1945803;13/01/2014;33373;0,855;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
578;VODAHOME, S.L.;3581;ALFAZ DEL PÍ;922;ALICANTE;0457_003;1945804;16/01/2014;29369;0,8123;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0594a;SICOM TELECOMUNIC ALBACETE S.L;3300;ORIHUELA;922;ALICANTE;0457_003;1945805;18/01/2014;34172;0,8614;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
600;CM PHONE ACCESORIES S.L.;3160;ALMORADÍ;922;ALICANTE;0457_003;1945806;20/01/2014;34172;0,935;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
613;CARMANI TELECOMUNICACIONES;3300;ORIHUELA;922;ALICANTE;0457_003;1945807;20/01/2014;33481;0,8383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
617;GSM BAHIA, S.L.U.;3610;PETRER;922;ALICANTE;0457_003;1945808;08/01/2014;33373;0,9383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
708;DITELE SPAIN, S.L.U;3760;ONDARA;922;ALICANTE;0457_003;1945809;18/01/2014;29369;0,7883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
0726a;DITELE SPAIN, S.L.U;3503;BENIDORM;922;ALICANTE;0457_003;1945810;14/01/2014;29369;0,8383;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
731;GARALUT COMUNICACIÓN;3540;CABO HUERTAS;922;ALICANTE;0457_003;1945811;16/01/2014;33373;0,9017;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
765;SOCIPHONE, S.L.;3550;SAN JUAN;922;ALICANTE;0457_003;1945812;13/01/2014;33373;0,935;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
791;LUALBO, S.L;3007;ALICANTE;922;ALICANTE;0457_003;1945813;21/01/2014;31882;0,7075;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
792;LUALBO, S.L;3600;ELDA;922;ALICANTE;0457_003;1945814;08/01/2014;33373;0,7883;MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
